pkg,depends
pacman,gawk
pacman,gettext
pacman,glibc
pacman,gnupg
pacman,gpgme
pacman,grep
pacman,libarchive
pacman,pacman-mirrorlist
pacman,systemd
pam,audit
pam,glibc
pam,libaudit.so
pam,libcrypt.so
pam,libnsl
pam,libtirpc
pam,libxcrypt
pam,pambase
pam,systemd-libs
patch,glibc
patch,attr
pciutils,glibc
pciutils,hwdata
pciutils,kmod
pcre,glibc
pcre,gcc-libs
pcre,readline
pcre,zlib
pcre,bzip2
pcre,bash
pcre2,bzip2
pcre2,glibc
pcre2,readline
pcre2,zlib
perl,gdbm
perl,db5.3
perl,glibc
perl,libxcrypt
perl,libcrypt.so
pinentry,glibc
pinentry,ncurses
pinentry,libassuan
pinentry,libsecret
pinentry,glib2
pinentry,libglib-2.0.so
pinentry,libncursesw.so
pinentry,libsecret-1.so
pkgconf,glibc
pkgconf,sh
popt,glibc
ppp,glibc
ppp,libpcap
ppp,libxcrypt
ppp,openssl
pptpclient,ppp
pptpclient,iproute2
pptpclient,perl
procps-ng,glibc
procps-ng,ncurses
procps-ng,libncursesw.so
procps-ng,systemd-libs
psmisc,ncurses
python,bzip2
python,expat
python,gdbm
python,libffi
python,libnsl
python,libxcrypt
python,openssl
python,zlib
python,tzdata
python,mpdecimal
python-audit,audit
python-audit,libaudit.so
python-audit,libauparse.so
python-audit,glibc
python-audit,python
python-brotli,python
python-capng,glibc
python-capng,libcap-ng
python-capng,libcap-ng.so
python-capng,python
python-gpgme,glibc
python-gpgme,gpgme
python-gpgme,python
python-libseccomp,python
python-tests,python
qgpgme-qt6,gcc-libs
qgpgme-qt6,glibc
qgpgme-qt6,gpgme
qgpgme-qt6,libgpg-error
qgpgme-qt6,qt6-base
readline,glibc
readline,ncurses
readline,libncursesw.so
reiserfsprogs,util-linux
rpcbind,glibc
rpcbind,libtirpc
rpcbind,systemd-libs
s-nail,openssl
s-nail,krb5
s-nail,libidn2
sdparm,glibc
sdparm,bash
sed,glibc
sed,acl
shadow,glibc
shadow,acl
shadow,libacl.so
shadow,attr
shadow,libattr.so
shadow,audit
shadow,libaudit.so
shadow,libxcrypt
shadow,libcrypt.so
shadow,pam
shadow,libpam.so
shadow,libpam_misc.so
sqlite,readline
sqlite,zlib
sqlite,glibc
sqlite-analyzer,sqlite
sqlite-analyzer,tcl
sqlite-analyzer,glibc
sqlite-tcl,sqlite
sqlite-tcl,glibc
sudo,glibc
sudo,openssl
sudo,pam
sudo,libldap
sudo,zlib
sudo,libcrypto.so
sudo,libssl.so
systemd,systemd-libs
systemd,acl
systemd,libacl.so
systemd,bash
systemd,cryptsetup
systemd,libcryptsetup.so
systemd,dbus
systemd,dbus-units
systemd,kbd
systemd,kmod
systemd,hwdata
systemd,libcap
systemd,libcap.so
systemd,libgcrypt
systemd,libxcrypt
systemd,libcrypt.so
systemd,libidn2
systemd,lz4
systemd,pam
systemd,libelf
systemd,libseccomp
systemd,libseccomp.so
systemd,util-linux
systemd,libblkid.so
systemd,libmount.so
systemd,xz
systemd,pcre2
systemd,audit
systemd,libaudit.so
systemd,openssl
systemd,libcrypto.so
systemd,libssl.so
systemd-libs,glibc
systemd-libs,gcc-libs
systemd-libs,libcap
systemd-libs,libgcrypt
systemd-libs,lz4
systemd-libs,xz
systemd-libs,zstd
systemd-resolvconf,systemd
systemd-sysvcompat,systemd
systemd-ukify,systemd
systemd-ukify,binutils
systemd-ukify,python-cryptography
systemd-ukify,python-pefile
tar,glibc
tar,acl
texinfo,ncurses
texinfo,gzip
texinfo,perl
texinfo,sh
thin-provisioning-tools,gcc-libs
thin-provisioning-tools,systemd-libs
tpm2-tss,curl
tpm2-tss,json-c
tpm2-tss,openssl
tpm2-tss,libjson-c.so
unixodbc,readline
unixodbc,libltdl
unixodbc,glibc
usbutils,glibc
usbutils,hwdata
usbutils,libusb
usbutils,libusb-1.0.so
usbutils,systemd-libs
usbutils,libudev.so
util-linux,util-linux-libs
util-linux,coreutils
util-linux,file
util-linux,libmagic.so
util-linux,glibc
util-linux,libcap-ng
util-linux,libxcrypt
util-linux,libcrypt.so
util-linux,ncurses
util-linux,libncursesw.so
util-linux,pam
util-linux,readline
util-linux,shadow
util-linux,systemd-libs
util-linux,libsystemd.so
util-linux,libudev.so
util-linux,zlib
util-linux-libs,glibc
util-linux-libs,sqlite
vi,ncurses
which,glibc
which,bash
wireless-regdb,bash
wireless-regdb,iw
wpa_supplicant,glibc
wpa_supplicant,libdbus
wpa_supplicant,libnl
wpa_supplicant,openssl
wpa_supplicant,pcsclite
wpa_supplicant,readline
xfsprogs,device-mapper
xfsprogs,libedit
xfsprogs,libinih
xfsprogs,liburcu
xfsprogs,sh
xfsprogs,util-linux-libs
xz,sh
zlib,glibc
zstd,glibc
zstd,gcc-libs
zstd,zlib
zstd,xz
zstd,lz4
0ad,0ad-data
0ad,binutils
0ad,boost-libs
0ad,curl
0ad,enet
0ad,libogg
0ad,libpng
0ad,libvorbis
0ad,libxml2
0ad,openal
0ad,sdl2
0ad,wxwidgets-gtk3
0ad,zlib
0ad,libgl
0ad,glu
0ad,fmt
0ad,gloox
0ad,miniupnpc
0ad,libminiupnpc.so
0ad,icu
0ad,nspr
0ad,libsodium
0ad,which
389-ds-base,cracklib
389-ds-base,libevent
389-ds-base,nspr
389-ds-base,nss
389-ds-base,net-snmp
389-ds-base,pam
389-ds-base,openldap
389-ds-base,icu
389-ds-base,db5.3
389-ds-base,python-cryptography
389-ds-base,python-argcomplete
389-ds-base,python-dateutil
389-ds-base,python-ldap
389-ds-base,python-packaging
389-ds-base,lmdb
3cpio,glibc
3cpio,gcc-libs
4ti2,gcc-libs
4ti2,glibc
4ti2,glpk
4ti2,gmp
4ti2,sh
9base,sh
a2jmidid,glibc
a2jmidid,alsa-lib
a2jmidid,libasound.so
a2jmidid,dbus
a2jmidid,libdbus-1.so
a2jmidid,jack
a2jmidid,libjack.so
a2ps,imagemagick
a2ps,perl
a2ps,psutils
a52dec,glibc
aalib,glibc
aalib,gpm
aalib,libx11
aalib,ncurses
aalib,slang
aarch64-linux-gnu-binutils,zlib
aarch64-linux-gnu-binutils,libelf
aarch64-linux-gnu-gcc,aarch64-linux-gnu-binutils
aarch64-linux-gnu-gcc,aarch64-linux-gnu-glibc
aarch64-linux-gnu-gcc,libmpc
aarch64-linux-gnu-gcc,zlib
aarch64-linux-gnu-gcc,libisl
aarch64-linux-gnu-gcc,zstd
aarch64-linux-gnu-gdb,xz
aarch64-linux-gnu-gdb,ncurses
aarch64-linux-gnu-gdb,expat
aarch64-linux-gnu-gdb,python
aarch64-linux-gnu-gdb,guile
aarch64-linux-gnu-gdb,gdb-common
aarch64-linux-gnu-gdb,mpfr
aarch64-linux-gnu-gdb,libelf
aarch64-linux-gnu-gdb,source-highlight
aarch64-linux-gnu-glibc,aarch64-linux-gnu-gcc
aarch64-linux-gnu-glibc,aarch64-linux-gnu-linux-api-headers
aardvark-dns,gcc-libs
aardvark-dns,glibc
abc,readline
abiword,at-spi2-core
abiword,cairo
abiword,enchant
abiword,fontconfig
abiword,fribidi
abiword,gcc-libs
abiword,gdk-pixbuf2
abiword,glib2
abiword,glibc
abiword,goffice
abiword,gtk3
abiword,hicolor-icon-theme
abiword,libgsf
abiword,libical
abiword,libjpeg-turbo
abiword,libpng
abiword,librsvg
abiword,libx11
abiword,libxml2
abiword,libxslt
abiword,pango
abiword,rasqal
abiword,readline
abiword,redland
abiword,wv
abiword,zlib
abletonlink,asio
abseil-cpp,gcc-libs
abseil-cpp,glibc
abseil-cpp,gtest
abuild,alpine-keyring
abuild,busybox
abuild,glibc
abuild,pax-utils
abuild,openssl
abuild,apk-tools
abuild,attr
abuild,tar
abuild,pkgconf
abuild,lzip
abuild,curl
abuild,bubblewrap
abuild,gettext
abuild,git
accerciser,at-spi2-core
accerciser,dconf
accerciser,gdk-pixbuf2
accerciser,glib2
accerciser,gobject-introspection-runtime
accerciser,gtk3
accerciser,hicolor-icon-theme
accerciser,ipython
accerciser,librsvg
accerciser,libwnck3
accerciser,pango
accerciser,python
accerciser,python-atspi
accerciser,python-cairo
accerciser,python-dbus
accerciser,python-gobject
accerciser,python-setuptools
accerciser,python-traitlets
accerciser,python-xdg
accessibility-inspector,gcc-libs
accessibility-inspector,glibc
accessibility-inspector,kconfigwidgets
accessibility-inspector,kcoreaddons
accessibility-inspector,kcrash
accessibility-inspector,kdbusaddons
accessibility-inspector,ki18n
accessibility-inspector,kxmlgui
accessibility-inspector,libqaccessibilityclient-qt6
accessibility-inspector,qt6-base
accounts-qml-module,gcc-libs
accounts-qml-module,glibc
accounts-qml-module,libaccounts-qt
accounts-qml-module,qt6-base
accounts-qml-module,qt6-declarative
accounts-qml-module,signond
accountsservice,gcc-libs
accountsservice,glib2
accountsservice,glibc
accountsservice,libxcrypt
accountsservice,polkit
accountsservice,shadow
accountsservice,systemd
accountsservice,libcrypt.so
accountsservice,libglib-2.0.so
accountsservice,libgobject-2.0.so
accountsservice,libgio-2.0.so
accountsservice,libsystemd.so
ack,perl-file-next
acme-redirect,gcc-libs
acme-redirect,glibc
acme-redirect,openssl
acme-redirect,libssl.so
acme-tiny,python
acme-tiny,openssl
acme-user,acme-tiny
acme-user,systemd
acme.sh,bash
acorn,nodejs
acpi,glibc
acpi_call,linux
acpi_call-dkms,dkms
acpi_call-lts,linux-lts
acpica,glibc
acpid,bash
acpilight,python
acsccid,pcsclite
acsccid,libusb
activity-log-manager,gtk3
activity-log-manager,libgee
activity-log-manager,zeitgeist
add-determinism,gcc-libs
add-determinism,glibc
add-determinism,zlib
add-determinism,libz.so
adguardhome,glibc
adios2,blosc2
adios2,bzip2
adios2,libbz2.so
adios2,gcc-libs
adios2,glibc
adios2,hdf5
adios2,libfabric
adios2,libpng
adios2,libpng16.so
adios2,libsodium
adios2,libsodium.so
adios2,mgard
adios2,openmpi
adios2,libmpi.so
adios2,openucx
adios2,libucp.so
adios2,libucs.so
adios2,paraview-catalyst
adios2,pugixml
adios2,python
adios2,python-yaml
adios2,sqlite
adios2,libsqlite3.so
adios2,sz
adios2,yaml-cpp
adios2,libyaml-cpp.so
adios2,zeromq
adios2,libzmq.so
adios2,zfp
adios2,zlib
adios2,libz.so
adljack,bash
adljack,gcc-libs
adljack,glibc
adljack,jack
adljack,libjack.so
adljack,liblo
adljack,liblo.so
adljack,ncurses
adljack,libncursesw.so
adljack,rtaudio
adljack,librtaudio.so
adljack,rtmidi
adljack,librtmidi.so
adlplug,adlplug-lv2
adlplug,adlplug-standalone
adlplug,adlplug-vst
adlplug-lv2,fmt
adlplug-lv2,freetype2
adlplug-lv2,gcc-libs
adlplug-lv2,glibc
