pkg,checkdepends
haskell-dbus,dbus
haskell-distributive,haskell-generic-deriving
haskell-distributive,haskell-hspec
haskell-distributive,haskell-hspec-discover
haskell-dlist,haskell-quickcheck
haskell-doctest,haskell-hunit
haskell-doctest,haskell-hspec
haskell-doctest,haskell-hspec-core
haskell-doctest,haskell-hspec-discover
haskell-doctest,haskell-quickcheck
haskell-doctest,haskell-stringbuilder
haskell-doctest,haskell-silently
haskell-doctest,haskell-setenv
haskell-doctest,haskell-mockery
haskell-esqueleto,mariadb
haskell-esqueleto,pifpaf
haskell-esqueleto,postgresql
haskell-filestore,git
haskell-filestore,mercurial
haskell-fold-debounce,haskell-hspec
haskell-fold-debounce,haskell-hspec-discover
haskell-foldable1-classes-compat,haskell-quickcheck
haskell-foldable1-classes-compat,haskell-quickcheck-instances
haskell-foldable1-classes-compat,haskell-test-framework
haskell-foldable1-classes-compat,haskell-test-framework-quickcheck2
haskell-generic-deriving,haskell-hspec
haskell-ghcide,cabal-install
haskell-graphviz,graphviz
haskell-hashable,haskell-hunit
haskell-hashable,haskell-quickcheck
haskell-hashable,haskell-random
haskell-hashable,haskell-test-framework
haskell-hashable,haskell-test-framework-hunit
haskell-hashable,haskell-test-framework-quickcheck2
haskell-hasql,postgresql
haskell-hasql,pifpaf
haskell-hasql-pool,pifpaf
haskell-hasql-pool,postgresql
haskell-hasql-transaction,postgresql
haskell-hasql-transaction,pifpaf
haskell-hie-bios,cabal-install
haskell-hint,cabal-install
haskell-hls-alternate-number-format-plugin,git
haskell-hls-change-type-signature-plugin,git
haskell-hls-class-plugin,git
haskell-hls-code-range-plugin,git
haskell-hls-eval-plugin,git
haskell-hls-explicit-imports-plugin,git
haskell-hls-floskell-plugin,git
haskell-hls-fourmolu-plugin,git
haskell-hls-gadt-plugin,git
haskell-hls-hlint-plugin,git
haskell-hls-module-name-plugin,git
haskell-hls-ormolu-plugin,git
haskell-hls-pragmas-plugin,git
haskell-hls-refine-imports-plugin,git
haskell-hls-rename-plugin,git
haskell-hls-splice-plugin,git
haskell-hls-stylish-haskell-plugin,git
haskell-hspec-core,haskell-base-orphans
haskell-hspec-core,haskell-hspec-meta
haskell-hspec-core,haskell-silently
haskell-hspec-core,haskell-temporary
haskell-hspec-discover,haskell-quickcheck
haskell-hspec-discover,haskell-hspec-meta
haskell-hspec-discover,haskell-mockery
haskell-http-streams,haskell-hunit
haskell-http-streams,haskell-aeson-pretty
haskell-http-streams,haskell-hspec
haskell-http-streams,haskell-hspec-expectations
haskell-http-streams,haskell-random
haskell-http-streams,haskell-snap-core
haskell-http-streams,haskell-snap-server
haskell-http-streams,haskell-system-fileio
haskell-http-streams,haskell-system-filepath
haskell-language-server,cabal-install
haskell-lifted-async,haskell-hunit
haskell-lifted-async,haskell-tasty
haskell-lifted-async,haskell-tasty-expected-failure
haskell-lifted-async,haskell-tasty-hunit
haskell-lifted-async,haskell-tasty-th
haskell-logging-facade,haskell-hspec
haskell-logging-facade,haskell-hspec-discover
haskell-logict,haskell-async
haskell-logict,haskell-tasty
haskell-logict,haskell-tasty-hunit
haskell-math-functions,haskell-erf
haskell-math-functions,haskell-quickcheck
