pkg,provides
freerdp2,libfreerdp-shadow2.so
freerdp2,libfreerdp-shadow-subsystem2.so
freerdp2,libwinpr2.so
freerdp2,libwinpr-tools2.so
freerdp2,libuwac0.so
freetype2,libfreetype.so
freeverb3,libfreeverb3.so
fribidi,libfribidi.so
frotz-dumb,dfrotz
frotz-ncurses,frotz
frotz-sdl,sfrotz
ftjam,jam
fuse2,fuse
futuresql,futuresql-qt6
fwupd,libfwupd.so
gala,libgala.so
gambas3-gb-compress,gambas3-gb-compress-bzlib2
gambas3-gb-compress,gambas3-gb-compress-zlib
gambas3-gb-compress,gambas3-gb-compress-zstd
gambas3-gb-dbus,gambas3-gb-dbus-trayicon
gambas3-gb-gtk3,gambas3-gui
gambas3-gb-qt5,gambas3-gui
gambas3-gb-report,gambas3-gb-report2
gambas3-gb-term,gambas3-gb-term-form
gambas3-runtime,gambas3-gb-jit
gamemode,libgamemode.so
gamemode,libgamemodeauto.so
gap,gap-doc
gap,gap-alnuth
gap,gap-atlasrep
gap,gap-autodoc
gap,gap-autpgrp
gap,gap-crisp
gap,gap-ctbllib
gap,gap-factint
gap,gap-fga
gap,gap-gapdoc
gap,gap-irredsol
gap,gap-laguna
gap,gap-polenta
gap,gap-polycyclic
gap,gap-primgrp
gap,gap-radiroot
gap,gap-resclasses
gap,gap-smallgrp
gap,gap-sophus
gap,gap-tomlib
gap,gap-transgrp
gap,gap-utils
gap-packages,gap-4ti2interface
gap-packages,gap-ace
gap-packages,gap-aclib
gap-packages,gap-agt
gap-packages,gap-anupq
gap-packages,gap-automata
gap-packages,gap-automgrp
gap-packages,gap-browse
gap-packages,gap-cap
gap-packages,gap-caratinterface
gap-packages,gap-cddinterface
gap-packages,gap-circle
gap-packages,gap-classicpres
gap-packages,gap-cohomolo
gap-packages,gap-congruence
gap-packages,gap-corelg
gap-packages,gap-crime
gap-packages,gap-crypting
gap-packages,gap-cryst
gap-packages,gap-crystcat
gap-packages,gap-cubefree
gap-packages,gap-curlinterface
gap-packages,gap-cvec
gap-packages,gap-datastructures
gap-packages,gap-deepthought
gap-packages,gap-design
gap-packages,gap-difsets
gap-packages,gap-digraphs
