package,provides
"edk2-ovmf","ovmf"
"edk2-shell","uefi-shell"
"efivar","libefiboot.so=1-64"
"efivar","libefisec.so=1-64"
"efivar","libefivar.so=1-64"
"egl-gbm","libnvidia-egl-gbm.so=1"
"egl-wayland","libnvidia-egl-wayland.so=1-64"
"element","ladspa-host"
"element","lv2-host"
"element","vst3-host"
"emacs-nativecomp","emacs"
"emacs-nox","emacs"
"emacs-wayland","emacs"
"emscripten","binaryen"
"enchant","libenchant-2.so=2-64"
"endeavour","gnome-todo"
"enter-tex","gnome-latex"
"erlang","erlang-nox"
"espeak-ng","espeak-ng-espeak"
"espflash","cargo-espflash"
"ettercap-gtk","ettercap"
"ettercap-gtk","libettercap.so=0-64"
"ettercap","libettercap.so=0-64"
"evince","libevdocument3.so=4-64"
"evince","libevview3.so=3-64"
"evolution-data-server","libcamel-1.2.so=64-64"
"evolution-data-server","libebackend-1.2.so=11-64"
"evolution-data-server","libebook-1.2.so=21-64"
"evolution-data-server","libebook-contacts-1.2.so=4-64"
"evolution-data-server","libecal-2.0.so=3-64"
"evolution-data-server","libedata-book-1.2.so=27-64"
"evolution-data-server","libedata-cal-2.0.so=2-64"
"evolution-data-server","libedataserver-1.2.so=27-64"
"evolution-data-server","libedataserverui-1.2.so=4-64"
"exfat-utils","fuse-exfat"
"exfatprogs","exfat-utils"
"exim","smtp-forwarder"
"exim","smtp-server"
"exiv2","libexiv2.so=28-64"
"expat","libexpat.so=1-64"
"eza","exa"
"f2fs-tools","libf2fs.so=10-64"
"f2fs-tools","libf2fs_format.so=9-64"
"faac","libfaac.so=0-64"
"faad2","faad"
"faad2","libfaad.so=2-64"
"faad2","libfaad_drm.so=2-64"
"faust","libHTTPDFaust.so=0-64"
"faust","libOSCFaust.so=1-64"
"faust","libfaust.so=2-64"
"faust","libfaustmachine.so=0-64"
"fcft","libfcft.so=4-64"
"fcitx","fcitx-gtk2"
"fcitx","fcitx-gtk3"
"fcitx5-configtool","fcitx5-config-qt"
"fcitx5-configtool","kcm-fcitx5"
"fcitx5-nord","fcitx5-nord-dark"
"fcron","cron"
"feeluown","feeluown-local"
"ffmpeg","libavcodec.so=61-64"
"ffmpeg","libavdevice.so=61-64"
"ffmpeg","libavfilter.so=10-64"
"ffmpeg","libavformat.so=61-64"
"ffmpeg","libavutil.so=59-64"
"ffmpeg","libpostproc.so=58-64"
"ffmpeg","libswresample.so=5-64"
"ffmpeg","libswscale.so=8-64"
"ffmpeg4.4","libavcodec.so=58-64"
"ffmpeg4.4","libavdevice.so=58-64"
"ffmpeg4.4","libavfilter.so=7-64"
"ffmpeg4.4","libavformat.so=58-64"
"ffmpeg4.4","libavutil.so=56-64"
"ffmpeg4.4","libpostproc.so=55-64"
"ffmpeg4.4","libswresample.so=3-64"
"ffmpeg4.4","libswscale.so=5-64"
"ffms2","avisynth-plugin-ffms2"
"ffms2","libffms2.so=5-64"
"ffms2","vapoursynth-plugin-ffms2"
"fftw-openmpi","libfftw3_mpi.so=3-64"
"fftw-openmpi","libfftw3f_mpi.so=3-64"
"fftw-openmpi","libfftw3l_mpi.so=3-64"
"fftw","libfftw3.so=3-64"
"fftw","libfftw3_omp.so=3-64"
"fftw","libfftw3_threads.so=3-64"
"fftw","libfftw3f.so=3-64"
"fftw","libfftw3f_omp.so=3-64"
"fftw","libfftw3f_threads.so=3-64"
"fftw","libfftw3l.so=3-64"
"fftw","libfftw3l_omp.so=3-64"
"fftw","libfftw3l_threads.so=3-64"
"fftw","libfftw3q.so=3-64"
"fftw","libfftw3q_omp.so=3-64"
"fftw","libfftw3q_threads.so=3-64"
"fig2dev","transfig"
"file","libmagic.so=1-64"
"firrtl","firrtl"
"flac","libFLAC++.so=10-64"
"flac","libFLAC.so=12-64"
"flatpak","libflatpak.so=0-64"
