package,conflicts
"lazarus-qt5","lazarus-qt6"
"lazarus-qt6","lazarus-gtk2"
"lazarus-qt6","lazarus-gtk3"
"lazarus-qt6","lazarus-qt5"
"lhasa","lha"
"lib32-at-spi2-core","lib32-at-spi2-atk<=2.38.0-2"
"lib32-at-spi2-core","lib32-atk<=2.38.0-2"
"lib32-dbus","lib32-libdbus"
"lib32-freeglut","lib32-glut"
"lib32-jack2","lib32-jack"
"lib32-libjpeg6-turbo","lib32-libjpeg6"
"lib32-libltdl","lib32-libtool"
"lib32-libpulse","lib32-pulseaudio"
"lib32-libudev0-shim","lib32-libudev0"
"lib32-mangohud","lib32-mangoapp"
"lib32-mesa-amber","lib32-mesa"
"lib32-mesa","lib32-libva-mesa-driver<1:24.2.7-1"
"lib32-mesa","lib32-mesa-libgl<17.0.1-2"
"lib32-mesa","lib32-mesa-vdpau<1:24.2.7-1"
"lib32-nvidia-utils","lib32-nvidia-libgl"
"lib32-ocl-icd","lib32-libcl"
"lib32-opencl-clover-mesa","lib32-opencl-mesa"
"lib32-opencl-rusticl-mesa","lib32-opencl-mesa"
"lib32-pipewire-jack","lib32-jack"
"lib32-pipewire-jack","lib32-jack2"
"lib32-renderdoc","lib32-renderdoc-minimal"
"lib32-rust-libs","lib32-rust"
"lib32-sdl12-compat","lib32-sdl"
"lib32-v4l-utils","lib32-libv4l"
"lib32-vulkan-mesa-layers","lib32-vulkan-mesa-layer"
"lib32-vulkan-swrast","lib32-vulkan-mesa"
"libakonadi5","libakonadi<24"
"libblockdev-fs","libblockdev-tools"
"libblockdev-lvm","libblockdev-lvm-dbus"
"libblockdev-lvm","libblockdev-tools"
"libblockdev","libblockdev-utils"
"libcamera-tools","libcamera-tests<0.0.1-2"
"libfilteraudio","filter_audio"
"libfm-gtk2","lxshortcut"
"libfm-gtk3","libfm-gtk2"
"libfm-gtk3","lxshortcut"
"libgedit-amtk","amtk"
"libgedit-tepl","tepl"
"libjpeg6-turbo","libjpeg6"
"libkcddb","libkcddb5<24"
"libkexiv2-qt5","libkexiv2<24"
"libkiwix","kiwix-lib"
"libksane5","libksane<24.02.0-2"
"libkscreen5","libkscreen<6.0"
"libldm","ldmtool"
"libmatekbd","libmatekbd-gtk3"
"libmateweather","libmateweather-gtk3"
"libmemcached-awesome","libmemcached"
"libnghttp2","nghttp2<1.20.0-2"
"libpaper","paper"
"libphobos","libphobos-devel"
"libplasma","plasma-framework"
"libproxy","libproxy-webkit<0.5.0-1"
"libqaccessibilityclient-qt5","libqaccessibilityclient"
"libqt5xdg","libqtxdg<4.0"
"libquvi","quvi<0.9.0"
"libratbag","liblur"
"libratbag","ratbagd"
"libre","librem"
"libre","re"
"librecad","librecad-git"
"libreoffice-fresh-af","libreoffice-af"
"libreoffice-fresh-am","libreoffice-am"
"libreoffice-fresh-ar","libreoffice-ar"
"libreoffice-fresh-as","libreoffice-as"
"libreoffice-fresh-ast","libreoffice-ast"
"libreoffice-fresh-be","libreoffice-be"
"libreoffice-fresh-bg","libreoffice-bg"
"libreoffice-fresh-bn-in","libreoffice-bn-IN"
"libreoffice-fresh-bn","libreoffice-bn"
"libreoffice-fresh-bo","libreoffice-bo"
"libreoffice-fresh-br","libreoffice-br"
"libreoffice-fresh-brx","libreoffice-brx"
"libreoffice-fresh-bs","libreoffice-bs"
"libreoffice-fresh-ca-valencia","libreoffice-ca-valencia"
"libreoffice-fresh-ca","libreoffice-ca"
"libreoffice-fresh-ckb","libreoffice-ckb"
"libreoffice-fresh-cs","libreoffice-cs"
"libreoffice-fresh-cy","libreoffice-cy"
"libreoffice-fresh-da","libreoffice-da"
"libreoffice-fresh-de","libreoffice-de"
"libreoffice-fresh-dgo","libreoffice-dgo"
"libreoffice-fresh-dsb","libreoffice-dsb"
"libreoffice-fresh-dz","libreoffice-dz"
"libreoffice-fresh-el","libreoffice-el"
"libreoffice-fresh-en-gb","libreoffice-en-GB"
"libreoffice-fresh-en-za","libreoffice-en-ZA"
"libreoffice-fresh-eo","libreoffice-eo"
"libreoffice-fresh-es","libreoffice-es"
"libreoffice-fresh-et","libreoffice-et"
"libreoffice-fresh-eu","libreoffice-eu"
"libreoffice-fresh-fa","libreoffice-fa"
"libreoffice-fresh-fi","libreoffice-fi"
"libreoffice-fresh-fr","libreoffice-fr"
"libreoffice-fresh-fur","libreoffice-fur"
"libreoffice-fresh-fy","libreoffice-fy"
"libreoffice-fresh-ga","libreoffice-ga"
"libreoffice-fresh-gd","libreoffice-gd"
"libreoffice-fresh-gl","libreoffice-gl"
"libreoffice-fresh-gu","libreoffice-gu"
"libreoffice-fresh-gug","libreoffice-gug"
"libreoffice-fresh-he","libreoffice-he"
"libreoffice-fresh-hi","libreoffice-hi"
"libreoffice-fresh-hr","libreoffice-hr"
"libreoffice-fresh-hsb","libreoffice-hsb"
"libreoffice-fresh-hu","libreoffice-hu"
"libreoffice-fresh-id","libreoffice-id"
"libreoffice-fresh-is","libreoffice-is"
"libreoffice-fresh-it","libreoffice-it"
"libreoffice-fresh-ja","libreoffice-ja"
"libreoffice-fresh-ka","libreoffice-ka"
"libreoffice-fresh-kab","libreoffice-kab"
"libreoffice-fresh-kk","libreoffice-kk"
"libreoffice-fresh-km","libreoffice-km"
"libreoffice-fresh-kmr-latn","libreoffice-kmr-Latn"
"libreoffice-fresh-kn","libreoffice-kn"
"libreoffice-fresh-ko","libreoffice-ko"
"libreoffice-fresh-kok","libreoffice-kok"
"libreoffice-fresh-ks","libreoffice-ks"
"libreoffice-fresh-lb","libreoffice-lb"
"libreoffice-fresh-lo","libreoffice-lo"
"libreoffice-fresh-lt","libreoffice-lt"
"libreoffice-fresh-lv","libreoffice-lv"
"libreoffice-fresh-mai","libreoffice-mai"
"libreoffice-fresh-mk","libreoffice-mk"
"libreoffice-fresh-ml","libreoffice-ml"
"libreoffice-fresh-mn","libreoffice-mn"
"libreoffice-fresh-mni","libreoffice-mni"
"libreoffice-fresh-mr","libreoffice-mr"
"libreoffice-fresh-my","libreoffice-my"
"libreoffice-fresh-nb","libreoffice-nb"
"libreoffice-fresh-ne","libreoffice-ne"
"libreoffice-fresh-nl","libreoffice-nl"
"libreoffice-fresh-nn","libreoffice-nn"
"libreoffice-fresh-nr","libreoffice-nr"
"libreoffice-fresh-nso","libreoffice-nso"
"libreoffice-fresh-oc","libreoffice-oc"
"libreoffice-fresh-om","libreoffice-om"
"libreoffice-fresh-or","libreoffice-or"
"libreoffice-fresh-pa-in","libreoffice-pa-IN"
"libreoffice-fresh-pl","libreoffice-pl"
"libreoffice-fresh-pt-br","libreoffice-pt-BR"
"libreoffice-fresh-pt","libreoffice-pt"
"libreoffice-fresh-ro","libreoffice-ro"
"libreoffice-fresh-ru","libreoffice-ru"
"libreoffice-fresh-rw","libreoffice-rw"
"libreoffice-fresh-sa-in","libreoffice-sa-IN"
"libreoffice-fresh-sat","libreoffice-sat"
"libreoffice-fresh-sd","libreoffice-sd"
"libreoffice-fresh-sdk","libreoffice-still-sdk"
"libreoffice-fresh-si","libreoffice-si"
"libreoffice-fresh-sid","libreoffice-sid"
"libreoffice-fresh-sk","libreoffice-sk"
"libreoffice-fresh-sl","libreoffice-sl"
"libreoffice-fresh-sq","libreoffice-sq"
"libreoffice-fresh-sr-latn","libreoffice-sr-Latn"
"libreoffice-fresh-sr","libreoffice-sr"
"libreoffice-fresh-ss","libreoffice-ss"
"libreoffice-fresh-st","libreoffice-st"
"libreoffice-fresh-sv","libreoffice-sv"
"libreoffice-fresh-sw-tz","libreoffice-sw-TZ"
"libreoffice-fresh-szl","libreoffice-szl"
"libreoffice-fresh-ta","libreoffice-ta"
"libreoffice-fresh-te","libreoffice-te"
"libreoffice-fresh-tg","libreoffice-tg"
"libreoffice-fresh-th","libreoffice-th"
"libreoffice-fresh-tn","libreoffice-tn"
"libreoffice-fresh-tr","libreoffice-tr"
"libreoffice-fresh-ts","libreoffice-ts"
"libreoffice-fresh-tt","libreoffice-tt"
"libreoffice-fresh-ug","libreoffice-ug"
