package,replaces
"kdiagram5","kdiagram<2.8.0-2"
"kdnssd5","kdnssd<5.111"
"kdoctools5","kdoctools<5.111"
"kdsoap-qt5","kdsoap"
"kea-docs","kea-devel-docs"
"kernel-hardening-checker","kconfig-hardened-check"
"kgamma","kgamma5"
"kglobalaccel5","kglobalaccel<5.111"
"kguiaddons5","kguiaddons<5.111"
"kholidays5","kholidays<1:5.111"
"ki18n5","ki18n<5.111"
"kiconthemes5","kiconthemes<5.111"
"kidletime5","kidletime<5.111"
"kimageannotator","kimageannotator-qt6"
"kimageformats5","kimageformats<5.111"
"kio-zeroconf","zeroconf-ioslave"
"kio5","kio<5.111"
"kirigami-addons5","kirigami-addons<0.11.75"
"kitemmodels5","kitemmodels<5.111"
"kitemviews5","kitemviews<5.111"
"kjobwidgets5","kjobwidgets<5.111"
"knewstuff5","knewstuff<5.111"
"knotifications5","knotifications<5.111"
"knotifyconfig5","knotifyconfig<5.111"
"kodi-gles","kodi-common"
"kodi-gles","kodi-gbm"
"kodi-gles","kodi-wayland"
"kodi-gles","kodi-x11"
"kodi","kodi-common"
"kodi","kodi-gbm"
"kodi","kodi-wayland"
"kodi","kodi-x11"
"kpackage5","kpackage<5.111"
"kparts5","kparts<5.111"
"kplotting5","kplotting<5.111"
"kpty5","kpty<5.111"
"kquickimageeditor5","kquickimageeditor<0.3.0-2"
"kservice5","kservice<5.111"
"ktextaddons5","ktextaddons<1.5.2-3"
"ktexteditor5","ktexteditor<5.111"
"ktextwidgets5","ktextwidgets<5.111"
"kubo","go-ipfs"
"kunitconversion5","kunitconversion<5.111"
"kuserfeedback","kuserfeedback5"
"kwallet5","kwallet<5.111"
"kwallet5","kwallet-secrets"
"kwayland5","kwayland<5.111"
"kwidgetsaddons5","kwidgetsaddons<5.111"
"kwindowsystem5","kwindowsystem<5.111"
"kxmlgui5","kxmlgui<5.111"
"lazarus-qt5","lazarus-qt"
"lazarus-qt5","lazarus-qt4"
"lib3mf","lib3mf-1"
"lib32-at-spi2-core","lib32-at-spi2-atk<=2.38.0-2"
"lib32-at-spi2-core","lib32-atk<=2.38.0-2"
"lib32-dbus","lib32-libdbus"
"lib32-libcanberra","lib32-libcanberra-pulse<0.30+2+gc0620e4-4"
"lib32-libgcrypt15","lib32-libgcrypt11"
"lib32-libltdl","lib32-libtool"
"lib32-libpulse","lib32-pulseaudio"
"lib32-mangohud","lib32-mangoapp"
"lib32-mesa","lib32-libva-mesa-driver<1:24.2.7-1"
"lib32-mesa","lib32-mesa-libgl<17.0.1-2"
"lib32-mesa","lib32-mesa-vdpau<1:24.2.7-1"
"lib32-nvidia-utils","lib32-nvidia-libgl"
"lib32-ocl-icd","lib32-libcl"
"lib32-opencl-clover-mesa","lib32-opencl-mesa<=23.1.4-1"
"lib32-opencl-rusticl-mesa","lib32-opencl-mesa<=23.1.4-1"
"lib32-renderdoc","lib32-renderdoc-minimal"
"lib32-rust-libs","lib32-rust"
"lib32-sdl12-compat","lib32-sdl<=1.2.15-8"
"lib32-v4l-utils","lib32-libv4l"
"lib32-vulkan-mesa-layers","lib32-vulkan-mesa-layer"
"lib32-vulkan-swrast","lib32-vulkan-mesa"
"libblockdev-fs","libblockdev-tools"
"libblockdev-lvm","libblockdev-lvm-dbus"
"libblockdev-lvm","libblockdev-tools"
"libblockdev","libblockdev-utils"
"libcamera-tools","libcamera-tests<0.0.1-2"
"libcanberra","libcanberra-pulse<0.30+2+gc0620e4-4"
"libdrm","libdrm-new"
"libdrm","libdrm-nouveau"
"libfm-gtk2","lxshortcut"
"libgcrypt15","libgcrypt11"
"libgedit-amtk","amtk"
"libgedit-tepl","tepl"
"libisl","isl"
"libkiwix","kiwix-lib"
"libmatekbd","libmatekbd-gtk3"
"libmateweather","libmateweather-gtk3"
"libmemcached-awesome","libmemcached"
"libnvidia-container","libnvidia-container-tools"
"libpaper","paper"
"libphobos","libphobos-devel"
"libplasma","plasma-framework"
"libqaccessibilityclient-qt5","libqaccessibilityclient"
"libre","librem"
"libre","re"
"librecad","caduntu"
"librecad","caduntu-svn"
"librecad","librecad-svn"
"libreoffice-fresh-bn-in","libreoffice-fresh-bn-IN"
"libreoffice-fresh-en-gb","libreoffice-fresh-en-GB"
"libreoffice-fresh-en-za","libreoffice-fresh-en-ZA"
"libreoffice-fresh-kmr-latn","libreoffice-fresh-kmr-Latn"
"libreoffice-fresh-pa-in","libreoffice-fresh-pa-IN"
"libreoffice-fresh-pt-br","libreoffice-fresh-pt-BR"
"libreoffice-fresh-sa-in","libreoffice-fresh-sa-IN"
"libreoffice-fresh-sr-latn","libreoffice-fresh-sr-Latn"
"libreoffice-fresh-sw-tz","libreoffice-fresh-sw-TZ"
"libreoffice-fresh-zh-cn","libreoffice-fresh-zh-CN"
"libreoffice-fresh-zh-tw","libreoffice-fresh-zh-TW"
"libreoffice-still-bn-in","libreoffice-still-bn-IN"
"libreoffice-still-en-gb","libreoffice-still-en-GB"
"libreoffice-still-en-za","libreoffice-still-en-ZA"
"libreoffice-still-kmr-latn","libreoffice-still-kmr-Latn"
"libreoffice-still-pa-in","libreoffice-still-pa-IN"
"libreoffice-still-pt-br","libreoffice-still-pt-BR"
"libreoffice-still-sa-in","libreoffice-still-sa-IN"
"libreoffice-still-sr-latn","libreoffice-still-sr-Latn"
"libreoffice-still-sw-tz","libreoffice-still-sw-TZ"
"libreoffice-still-zh-cn","libreoffice-still-zh-CN"
"libreoffice-still-zh-tw","libreoffice-still-zh-TW"
"libretro-mupen64plus-next","libretro-mupen64plus"
"libretro-retrodream","libretro-redream"
"librime-data","brise"
"libsigc++-docs","libsigc++2.0-docs"
"libsigc++","libsigc++2.0"
"libtool","libltdl"
"libtool","libtool-multilib"
"libunibreak","liblinebreak"
"libva-intel-driver","libva-driver-intel"
"libverto","libverto-libevent<0.3.2-4"
"libvpl","onevpl"
"libwslay","wslay"
"libxml++2.6","libxml++2"
"libxmlrpc","xmlrpc-c"
"linux-lts","wireguard-lts"
"linux","virtualbox-guest-modules-arch"
"linux","wireguard-arch"
"linuxconsole","inputattach"
"linuxconsole","joystick"
"lirc","lirc-utils"
"lite-xl","lite-xl-bin"
